step,loss,ppl,lr,tok_s
7390,5.4205,226.0,0.000291,280
7400,5.6553,285.81,0.000291,280
7410,5.4867,241.47,0.000291,280
7420,5.8964,363.73,0.000291,280
7430,5.609,272.88,0.000291,280
7440,6.1491,468.3,0.000291,280
7450,5.9727,392.57,0.000291,280
7460,5.4762,238.95,0.000291,280
7470,5.6641,288.34,0.000291,280
7480,5.2978,199.89,0.000291,280
7490,5.3582,212.35,0.000291,280
7500,5.9829,396.58,0.000291,280
7510,6.2304,507.98,0.000291,280
7520,5.6633,288.1,0.000291,280
7530,5.5812,265.4,0.000291,280
7540,5.457,234.39,0.000291,279
7550,5.786,325.71,0.000291,279
7560,5.6421,282.06,0.000291,279
7570,5.6355,280.21,0.00029,278
7580,5.7003,298.96,0.00029,278
7590,5.6682,289.5,0.00029,278
7600,5.4491,232.56,0.00029,278
7610,5.3329,207.03,0.00029,278
7620,5.4326,228.75,0.00029,278
7630,5.6055,271.93,0.00029,278
7640,5.2784,196.06,0.00029,278
7650,6.0939,443.16,0.00029,278
7660,5.7182,304.36,0.00029,278
7670,5.7388,310.7,0.00029,278
7680,5.5199,249.6,0.00029,277
7690,5.9934,400.76,0.00029,277
7700,5.6451,282.9,0.00029,277
7710,5.3277,205.96,0.00029,277
7720,6.3809,590.48,0.00029,277
7730,5.8678,353.48,0.00029,276
7740,5.7049,300.33,0.00029,276
7750,5.8134,334.76,0.00029,276
7760,5.5076,246.56,0.00029,276
7770,5.6409,281.72,0.00029,276
7780,5.481,240.08,0.00029,276
7790,5.359,212.51,0.00029,276
7800,5.3361,207.71,0.00029,276
7810,5.5682,261.96,0.00029,276
7820,5.2382,188.34,0.00029,276
7830,5.0953,163.25,0.00029,276
7840,5.4511,233.01,0.00029,276
7850,5.9306,376.38,0.00029,276
7860,5.1251,168.2,0.000289,276
7870,5.1401,170.74,0.000289,276
7880,5.8975,364.11,0.000289,276
7890,5.5752,263.81,0.000289,276
7900,5.3377,208.02,0.000289,276
7910,5.9794,395.19,0.000289,276
